wavelength,response
281.01392018419574,0
298.4985145523767,0.05072886297376078
340.405772380908,0.8256559766763847
360.3041270396387,0.9638483965014577
384.08345312843403,0.9743440233236151
397.9658424244795,0.9900874635568513
561.5930732024246,0.9918367346938775
624.7155897349951,0.988338192419825
697.4048532384082,0.9970845481049562
1302.8082301595862,0.9918367346938775
1398.688146507965,0.9690962099125364
1496.3020648525817,0.9778425655976676
2512.778468392715,0.8483965014577259
2916.883232368541,0.10145772594752178
3098.370754779824,0.09795918367346945
3302.8568069581606,0.05072886297376078
3902.6956805794357,0.048979591836734615
4829.318965602332,0
10000.0,0
