wavelength,cloudy_day,snow_and_sun,partly_cloudy_day
Date,09/01/2019,19/01/2017,01/10/2019
Time,12:00:00,12:00:00,12:00:00
Memo,A180 I00,A180 I00,A180 I00
Sensor,MS-711,MS-711,MS-711
Exposure Time(msec),200,100,100
Sensor Temp.(deg),24.4,24.4,25.2
Power(V),5.9,5.9,5.9
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
626.1,163.18,472.43,855.52
626.51,162.79,472.53,853.21
626.93,162.89,472.6,851.69
627.34,162.34,471.51,850.88
627.76,162.54,468.77,849.49
628.17,162.35,468.77,844.93
628.59,161.29,468.8,844.48
629,161.11,467.44,844.2
629.42,161.56,466.28,843.73
629.83,162.28,466.72,842.82
630.25,162.15,469.06,843.07
630.66,161.11,470.56,843.92
631.08,161.23,468.93,844.44
631.49,161.89,468.62,842.68
631.91,162.25,471.18,842.03
632.32,162.85,474.68,843.57
632.74,163.11,475.35,844.58
633.15,163.58,474.43,845.05
633.57,163.95,476.48,845.27
633.98,163.39,479.07,847.9
634.4,163.72,480.28,849.57
634.81,164.31,481.37,849.04
635.23,165.66,482.31,847.79
635.64,165.5,485.32,848.39
636.06,164.62,486.47,848.45
636.47,164.61,485.2,848.76
636.89,165.46,484.2,847.07
637.3,166.37,485.59,846.97
637.72,166.89,487.96,846.9
638.13,166.44,487.68,845.86
638.55,166.35,484.29,841.72
638.96,166.15,483.32,838.42
639.38,165.14,483.52,835.59
639.79,164.82,483.06,833.28
640.21,164.75,482.15,828.32
640.62,165.17,480.39,826.84
641.04,164.63,480.19,823.89
641.45,163.05,479.81,820.91
641.86,162.35,477.88,817.46
642.28,162.56,475.61,813.56
642.69,162.68,474.91,809.17
643.11,162.45,476.97,805.66
643.52,161.44,475.99,800.95
643.94,161.01,472.72,798.85
644.35,160.59,471.57,795.19
644.77,159.7,472.56,792.37
645.18,159.31,473.32,788.93
645.6,159.5,472.87,785.34
646.01,159.82,470.94,780.78
646.43,159.42,470.98,777.99
646.84,158.18,471.27,773.61
647.25,157.75,470.86,772.28
647.67,158.08,469.8,770.7
648.08,158.95,470.05,769.48
648.5,159.12,472.37,768.95
648.91,158.83,473.73,769.88
649.33,159.37,471.99,771.21
649.74,159.76,472.84,772.78
650.16,159.86,475.07,773.7
650.57,160.63,478.3,778.03
650.98,161.33,479.09,782.45
651.4,162.7,478.13,787.15
651.81,163.22,478.99,792.44
652.23,162.81,479.99,797.44
652.64,162.91,479.47,802.44
653.06,163.59,478.6,806.14
653.47,164.4,477.15,808.8
653.88,164.73,477.71,811.65
654.3,164.02,476.88,813.73
654.71,164.08,474.63,815.44
655.13,164.05,473.06,817.32
655.54,163.72,474.23,819.42
655.95,164.26,476.62,823.23
656.37,164.84,477.45,826.69
656.78,165.97,475.79,829.38
657.2,166.7,477.05,833.51
657.61,166.22,479.39,838.25
658.03,166.47,481.37,842
658.44,167.52,483.03,845.51
658.85,169,484.61,849.17
659.27,169.82,487.83,854.56
659.68,169.64,490.85,857.7
660.1,170.11,491.97,861.26
660.51,170.81,493.4,863.29
660.92,170.89,495.51,865.78
661.34,171.2,498.86,866.31
661.75,170.66,498.15,864.38
662.17,171.03,494.4,861.19
662.58,170.28,492.68,856.86
662.99,167.98,491.98,849.99
663.41,165.75,490.48,841.15
663.82,164.81,488.02,831.25
664.23,164.43,484.31,822.55
664.65,163.01,482.69,813.96
665.06,161.09,481.59,805.56
665.48,159.68,480.2,796.62
665.89,158.89,478.12,791.12
666.3,157.92,476.66,784.42
666.72,157.26,476.94,779.13
667.13,156.59,476.07,773.2
667.55,157.04,473.24,769.33
667.96,156.82,472.55,766.83
668.37,155.24,472.91,764.27
668.79,154.91,474.33,762.44
669.2,155.13,474.39,763.05
669.61,156.18,473.23,763.6
670.03,156.47,473.93,765.27
670.44,156.15,475.61,767.01
670.85,156.58,476.91,770.09
671.27,157.64,478.36,774.06
671.68,158.4,478.9,778.16
672.1,159.28,481.05,781.67
672.51,159.96,482.57,787.33
672.92,161.63,483.53,793.45
673.34,162.87,485.2,800.54
673.75,162.81,487.42,806.64
674.16,163.48,490.45,812.17
674.58,165.06,491.99,819
674.99,166.64,491.66,826.36
675.4,167.72,493.08,832.38
675.82,168.23,496.26,840.2
676.23,169.51,499.6,848.91
676.64,171.18,501.83,857.06
677.06,172.11,502.4,863.28
677.47,173.05,504.02,869.25
677.88,173.9,505.74,875.61
678.3,175.33,506.19,881.59
678.71,175.98,507.72,886.4
679.12,175.68,508.47,889.1
679.54,175.8,509.82,891.73
679.95,176.51,509.66,893.54
680.36,177.34,507.42,895.64
680.78,177.2,507.12,896.21
681.19,176.25,507.26,895.99
681.6,175.81,507.85,895.83
682.02,175.65,505.57,893.22
682.43,174.76,500.93,888.12
682.84,173.74,496.69,883.46
683.26,172.58,493.12,879.55
683.67,172.03,488.22,874.42
684.08,170.53,482.63,867.34
684.49,167.92,475.6,860.49
684.91,165.51,468.72,851.94
685.32,163.4,461.16,843.22
685.73,161.29,451.56,832.53
686.15,158.73,444.37,822.77
686.56,155.68,437.89,811.49
686.97,153.11,433.9,801.33
687.39,151.45,428.92,790.9
687.8,149.97,422.11,782.01
688.21,148.58,418.84,773.91
688.62,147.23,416.81,767.45
689.04,147.21,416.22,761.31
689.45,146.6,416.34,756.47
689.86,145.29,416.01,753.04
690.28,145.44,418.83,750.78
690.69,146.3,422.87,748.73
691.1,148.13,426.43,749.18
691.51,149.36,430.66,750.88
691.93,150.26,436.52,753.64
692.34,151.83,444,757.38
692.75,154.32,449.69,762.62
693.17,156.51,451.99,765.92
693.58,158.02,455.2,769.75
693.99,159.02,458.6,771.74
694.4,160.68,462.45,775.17
694.82,161.73,465.04,778.48
695.23,161.42,465.35,778.94
695.64,162.24,466.99,779.34
696.05,163.04,469.03,780.17
696.47,164.1,469.17,779.73
696.88,164.06,467.78,778.75
697.29,162.67,466.9,774.72
697.7,162.16,467.98,771.84
698.12,162.07,466.91,769.16
698.53,161.67,461.97,764.67
698.94,160.8,458.98,760.33
699.35,159.76,457.58,757.26
699.77,159.29,459.39,755.1
700.18,158.87,458.53,753.1
700.59,157.25,454.17,748.4
701,156.67,453.58,743.63
701.42,156.65,453.92,742.44
701.83,157.07,453.35,741.22
702.24,156.38,453.15,740.26
702.65,154.81,451.78,739.3
703.07,153.96,454.77,741.75
703.48,155.04,456.32,745
703.89,156.08,455.68,747.37
704.3,156.81,456.94,749.91
704.71,156.82,459.77,753.44
705.13,157.25,465.04,756.64
705.54,157.89,467.07,760.07
705.95,157.79,464.76,761.7
706.36,158.55,465.12,765.17
706.78,159.25,468.61,769.1
707.19,160.29,469.39,771.87
707.6,160.09,469.6,772.76
708.01,158.86,468.61,773.58
708.42,158.61,470.02,774.15
708.84,159.42,470.67,775.77
709.25,160.73,468.54,774.15
709.66,160.62,467.42,775.41
710.07,159.65,466.97,775.91
710.48,159.03,469.23,776.31
710.9,159.65,469.25,776.32
711.31,159.23,463.48,775.35
711.72,159.44,462.11,774.69
712.13,159.59,463.21,774.24
712.54,160.08,463.74,770.58
712.96,159.46,461.07,768.44
713.37,157.38,455.83,765.1
713.78,155.89,453.76,761.87
714.19,155.92,450.71,756.1
714.6,155.81,445.87,747.02
715.02,154.86,440.96,737.71
715.43,152.36,435.52,727.52
715.84,150.68,432.3,713.13
716.25,149.81,427.26,699.1
716.66,148.13,417.97,684.83
717.07,146.39,411.4,669.35
717.49,144.93,408.34,655.04
717.9,144.29,407.29,641.24
718.31,142.8,402.62,629.07
718.72,140.17,395.44,619.33
719.13,138.29,392.94,607.53
719.55,138.19,392.91,598.6
719.96,139.21,391.7,591.53
720.37,139.22,391.86,588.75
720.78,138.28,391.85,589.54
721.19,138.55,394.52,588.74
721.6,139.25,395.78,590.95
722.01,139.67,395.13,592.69
722.43,140.2,395.06,594.52
722.84,140.85,398.56,596.88
723.25,142.12,403.03,600.37
723.66,142.72,404.7,604.96
724.07,141.73,401.13,609.24
724.48,141.39,401.32,610.6
724.89,142.08,403.32,612.62
725.31,143.07,403.9,612.37
725.72,143.21,403.62,611.81
726.13,141.95,401.44,610.19
726.54,141.23,401.45,606.85
726.95,141.11,400.67,601.01
727.36,140.62,398.47,596.89
727.77,140.73,398.22,592.93
728.19,140.76,399.17,593.84
728.6,141.93,403.58,593.69
729.01,142.04,404.97,595.23
729.42,140.58,402.47,596.22
729.83,140.33,403.58,597.16
730.24,141.23,407.14,598.04
730.65,142.67,411.12,600.32
731.06,143.02,413.39,602.02
731.48,142.84,413.76,610.22
731.89,142.78,417,617.48
732.3,143.85,420.52,624.67
732.71,144.79,423.16,632.11
733.12,145.85,426.47,642.17
733.53,146.37,428.68,651.5
733.94,148.42,433.06,659.5
734.35,149.01,435.33,664.88
734.76,147.7,433.13,672.64
735.17,148.1,433.6,679.85
735.59,149.3,435.58,685.91
736,150.68,439.16,689.34
736.41,150.85,439.46,694.88
736.82,149.87,436.28,701.79
737.23,149.63,435.7,706.8
737.64,150.32,437.02,707.26
738.05,150.86,437.36,708.62
738.46,151.32,437.22,711.11
738.87,150.88,435.66,713.33
739.28,151.8,436.59,713.17
739.69,151.37,437.1,713.85
740.1,149.64,435.14,717.89
740.52,149.6,434.26,720.2
740.93,150.07,436.58,721.6
741.34,151.14,440.32,720.09
741.75,150.85,442,723.33
742.16,149.59,438.91,726.94
742.57,148.77,438.67,729.87
742.98,149.41,440.2,729.68
743.39,150.59,442.59,734.79
743.8,150.87,442.84,738.19
744.21,150.69,442.1,740.09
744.62,151.45,442.66,739.91
745.03,151.77,443.97,741.47
745.44,150.21,443.25,743.67
745.85,150.62,443.32,745.33
746.26,151.4,443.56,743.33
746.67,151.99,446.45,745.48
747.08,151.67,447.37,747.26
747.49,150.4,442.75,751.6
747.91,149.46,440.69,750.37
748.32,149.96,441.99,751.15
748.73,151.09,444.78,751.6
749.14,151.75,445.37,751.98
749.55,150.93,442.12,746.7
749.96,151.16,441.04,745.3
750.37,151.48,441.97,745.32
750.78,149.84,441.52,746.67
751.19,149.78,440.92,745.57
751.6,150.2,439.63,745.92
752.01,150.81,440.26,745.81
752.42,150.31,441.26,747
752.83,149.05,437.27,743.67
753.24,148.02,434.57,742.5
753.65,148.32,435.04,742.78
754.06,149.32,438.21,743.21
754.47,149.47,436.04,741.35
754.88,148.53,427.63,738.67
755.29,147.17,421.33,736.03
755.7,146.45,416.94,733.85
756.11,143.27,409.92,727.82
756.52,140.55,397.88,720.06
756.93,137.97,382.03,707.99
757.34,134.6,366.62,692.82
757.75,129.58,350,673.23
758.16,122.11,328.47,650.42
758.57,115.12,306.85,625.52
758.98,109.23,287.87,598.62
759.39,103.69,272.53,568.84
759.8,97.56,254.69,537.72
760.21,90.58,230.58,508.09
760.62,84.71,214.34,481.04
761.03,79.12,202.86,455.31
761.44,73.22,194.97,431.42
761.85,69.03,185.87,412.49
762.26,66.19,178.17,395.06
762.67,64.91,178.65,379.83
763.08,63.66,183.43,370.21
763.49,62.58,189,367.92
763.9,63.48,198.84,370.78
764.3,67.62,211.92,380.02
764.71,72.76,230.97,393.83
765.12,77.65,248.22,415.82
765.53,82.05,259.74,437.44
765.94,88.12,275.85,459.74
766.35,93.44,294.82,480.84
766.76,98.5,314.79,504.94
767.17,103.85,329.56,527.38
767.58,109.67,339.34,549.65
767.99,115.64,353.81,568.69
768.4,119.9,368.36,593.87
768.81,122.38,379.28,614.48
769.22,124.92,388.45,633.51
769.63,129,396.15,647.62
770.04,133.03,405.65,662.95
770.45,135.58,410.69,674.83
770.86,136.95,410.2,684.98
771.26,139.12,412.07,687.66
771.67,140.85,417.25,696.75
772.08,140.66,423.53,703.96
772.49,142.09,425.39,709.12
772.9,143.08,420.55,710.27
773.31,144.89,421.48,713.49
773.72,145.03,423.45,716.63
774.13,143.76,424.76,717.21
774.54,142.54,424.71,711.59
774.95,143.54,422.08,711.87
775.36,144.76,423.22,712.74
775.77,144.56,423.95,713.97
776.17,144.06,420.4,712.6
776.58,144.5,419.21,710.94
776.99,144.63,420.25,711.79
777.4,143.51,425.27,711.83
777.81,143.23,425.35,706.78
778.22,143.77,418.48,706.93
778.63,144.93,418.95,707.43
779.04,144.13,420.87,708.67
779.45,141.83,422.96,706.63
779.85,140.28,424.08,703.73
780.26,141.05,420.84,707.56
780.67,142.49,421.89,708.26
781.08,143,422.72,705.94
781.49,142.47,420.88,704.88
781.9,142.67,420.08,704.49
782.31,142.78,419.69,704.78
782.72,141.7,423.94,703.6
783.12,141.38,422.74,700.36
783.53,142.14,415.89,702.51
783.94,143.28,414.58,703.01
784.35,142.17,416.65,700.04
784.76,139.6,418.81,695.68
785.17,137.94,417.56,692.03
785.58,138.44,411.35,689.17
785.98,140.1,411.42,687.4
786.39,139.88,411.25,680.75
786.8,138.89,409.93,683.07
787.21,138.74,409.48,682.31
787.62,139.25,408.67,680.19
788.03,138.85,410.75,674.97
788.43,138.67,410.68,671.3
788.84,138.99,405.82,669.4
789.25,140.24,403.96,667.68
789.66,139.26,405.42,662.01
790.07,137.06,410.03,664.54
790.48,135.56,407.61,664.24
790.88,136.13,402.3,664.71
791.29,137.98,401.67,663.46
791.7,137.66,404.19,663.35
792.11,136.67,405.47,663.98
792.52,136.92,406.18,664.58
792.92,137.44,403.56,659.43
793.33,136.75,404.61,660.43
793.74,136.66,405.05,660.62
794.15,137.15,402.28,662.69
794.56,138.57,401.98,663.14
794.97,138.36,403.55,662.72
795.37,136,409.25,664.15
795.78,135.23,409.96,663.79
796.19,135.71,403.61,657.38
796.6,137.72,405.32,658.01
797,137.91,407.92,658.02
797.41,136.91,410.49,657.68
797.82,137.47,411.66,657.55
798.23,138.17,406.29,656.24
798.64,136.87,407.16,656.2
799.04,137.33,407.33,654.56
799.45,138.11,407.51,650.16
799.86,138.86,407.87,649.3
800.27,138.21,407.17,648.01
800.67,135.9,409.84,646.76
801.08,134.68,408.56,645.15
801.49,135.32,402.64,643
801.9,136.39,401.16,644.69
802.31,135.87,401.97,644.09
802.71,135.28,405.13,640.98
803.12,135.41,404.34,638.14
803.53,136.34,398.5,637.98
803.94,135.3,396.56,636.83
804.34,135.24,397.57,634.07
804.75,135.49,398.09,631.81
805.16,136.15,398.66,636.46
805.56,135.16,395.7,639
805.97,133.03,396.98,638.34
806.38,132.28,396.37,635.31
806.79,132.91,392.43,634.5
807.19,133.58,389.82,632.82
807.6,132.68,389.27,630.59
808.01,131.71,392.6,624.76
808.42,131.4,390.76,625.67
808.82,131.41,382.89,623.95
809.23,130.45,380.58,620.4
809.64,129.74,380.56,614.3
810.04,129.63,381.86,609.47
810.45,130.14,379.73,605.56
810.86,128.76,373.55,599.15
811.27,126.07,370.73,586.17
811.67,124.13,367.33,577.6
812.08,123.32,361.17,568.51
812.49,123.34,357.2,561.67
812.89,122.05,353.85,552.08
813.3,120,352.9,543.37
813.71,118.83,350.22,535.02
814.11,118.25,341.12,526.31
814.52,116.94,336.28,511.6
814.93,115.76,334.99,501.5
815.34,114.62,334.77,494.06
815.74,114.27,331.39,487.04
816.15,112.8,324.07,478.65
816.56,110.14,321.44,471.42
816.96,109.35,321.05,467.76
817.37,109.35,319.91,464.54
817.78,109.88,320.57,460
818.18,109.88,320.81,457.58
818.59,109.08,323.42,458.52
819,108.97,323.66,460.3
819.4,109.48,321.61,461.12
819.81,109.96,320.99,461.42
820.21,110.16,322.76,463.61
820.62,110.3,327.15,465.22
821.03,111.36,326.98,464.87
821.43,111.16,323.08,463.62
821.84,109.97,323.24,465.79
822.25,109.95,327.26,468.57
822.65,110.99,330.03,470.43
823.06,112.13,332.17,471.19
823.47,112.69,331.69,478.05
823.87,112.58,333.22,482.97
824.28,112.62,334.42,485.9
824.68,113.59,333.03,486.04
825.09,114.1,333.17,487.57
825.5,114.85,334.55,489.35
825.9,115.16,339.78,492.25
826.31,115.97,340.65,492.91
826.72,116.3,337.26,498.31
827.12,114.96,337.35,501.63
827.53,114.96,340.16,505.34
827.93,116.07,342.64,505.07
828.34,117.09,342.06,507.55
828.75,116.85,338.65,509.18
829.15,116.17,338.21,510.07
829.56,115.23,338.66,506.45
829.96,115.88,336.74,507.15
830.37,116.26,336.58,507.07
830.78,116.32,337.15,506.73
831.18,116.35,340.83,506.37
831.59,116.9,342.16,507.72
831.99,116.94,339.66,509.66
832.4,116.16,340.02,512.68
832.8,116.5,344.05,513.27
833.21,117.89,348.73,518
833.62,119.19,349.87,521.37
834.02,119.19,348.11,526.74
834.43,118.44,349.47,529.08
834.83,118.28,352.73,532.83
835.24,118.94,353.26,537.81
835.64,119.75,354.74,541.13
836.05,119.62,356.29,542.3
836.45,119.52,358.55,545.81
836.86,120.68,359.8,550.2
837.27,120.68,358.23,553.66
837.67,119.8,357.83,556.77
838.08,120.28,359.89,558.99
838.48,120.94,364.07,563.14
838.89,122.07,364.51,566.97
839.29,121.75,361.08,566.83
839.7,120.83,361.25,569.61
840.1,120.59,363.76,572.99
840.51,121.48,365.67,575.58
840.91,122.39,366.09,577.64
841.32,122.97,366.33,579.44
841.72,123.11,367.5,584
842.13,123.93,367.86,587.31
842.53,124.09,366.55,587.62
842.94,123.24,365.36,587.81
843.34,123.43,366.1,589.59
843.75,123.76,369.65,590.3
844.15,124.33,368.24,590.73
844.56,123.68,364.98,588.94
844.96,122.45,363.21,591.29
845.37,121.58,364.88,593.63
845.77,121.79,366.25,593.73
846.18,122,365.26,591.76
846.58,121.92,362.71,591.72
846.99,121.48,362.55,591.9
847.39,121.29,362.29,591.02
847.8,120.94,359.95,588.05
848.2,120.01,359.16,589.72
848.61,119.98,358.51,589.9
849.01,120.19,360.29,589
849.41,120.65,359.68,586.22
849.82,119.98,355.12,584.61
850.22,118.35,352.37,583.14
850.63,117.45,352.77,582.88
851.03,117.17,353.19,577.99
851.44,117.22,350.95,575.61
851.84,116.67,346.66,572.76
852.25,115.8,344.21,570.54
852.65,115.13,343.75,567.39
853.05,114.75,341.91,564.8
853.46,114.14,342.42,563.86
853.86,114.33,342.85,563.6
854.27,114.64,344.19,559.64
854.67,115.25,344.8,559.67
855.08,114.92,343.14,561.42
855.48,113.72,342.51,563.54
855.88,113.54,344.47,565.41
856.29,114.27,348.26,566.43
856.69,115.28,348.9,568.33
857.1,116.11,347.42,569.85
857.5,116.36,348.94,570.02
857.9,117.1,351.44,572.21
858.31,117.98,354.19,574.38
858.71,118.09,355.99,576.97
859.12,118.62,356.52,578.85
859.52,119.09,357.39,579.91
859.92,119.7,357.27,582.35
860.33,119.15,355.77,584.99
860.73,118.35,355.32,583.99
861.14,117.87,355.69,584.18
861.54,118.33,359.13,584.17
861.94,118.68,358.73,583.71
862.35,118.7,354.95,584.13
862.75,118.03,353.07,582.73
863.15,117.6,353.19,583.79
863.56,117.16,353.51,582.71
863.96,116.24,351.9,580.31
864.36,115.84,348.54,576.41
864.77,115.65,347.08,574.07
865.17,115.72,345.63,571.25
865.57,115.05,343.25,568.56
865.98,113.89,342.94,564.69
866.38,113.6,342.3,565.23
866.78,113.64,344.05,565.08
867.19,114.47,343.66,563.87
867.59,114.46,340.41,561.87
867.99,114.06,339.07,561.48
868.4,114.35,340.82,560.6
868.8,114.64,343.3,560.23
869.2,114.59,344.14,558.31
869.61,115.2,342.65,561.74
870.01,115.86,342.91,564.09
870.41,116.97,344.93,566.89
870.82,117,346.01,568.55
871.22,116.28,347.74,569.83
871.62,116.07,348.09,571.73
872.02,116.28,349.44,572.78
872.43,117.23,349.4,571.05
872.83,117.43,347.45,572.39
873.23,116.68,346.41,572.53
873.64,116.64,347.75,572.61
874.04,117.07,350.74,571.69
874.44,117.06,350.22,571.41
874.84,117.34,347.73,572.62
875.25,117.61,346.86,573.26
875.65,118.39,348.26,570.98
876.05,118.24,350.19,570.73
876.45,117.08,350.05,570.67
876.86,116.74,347.96,570.06
877.26,116.97,347.95,569.82
877.66,117.74,347.57,568.42
878.06,117.64,345.28,568.32
878.47,116.51,345.06,567.27
878.87,115.79,344.92,564.1
879.27,115.99,346.81,562.92
879.67,116.02,346.3,562.51
880.08,115.92,342.76,561.59
880.48,115.68,341.96,560.6
880.88,116.22,343.46,559.5
881.28,115.97,345.26,560.38
881.68,114.86,344.59,560.53
882.09,114.72,341.75,559.26
882.49,115.12,341.13,558.57
882.89,115.84,341.92,559.22
883.29,115.75,340.41,559.37
883.69,114.87,340.74,559.79
884.1,114.42,340.75,558.68
884.5,114.66,342.18,560.4
884.9,114.92,342.04,560.56
885.3,114.83,338.96,559.36
885.7,114.37,337.81,557.76
886.11,114.82,338.73,557.35
886.51,114.36,339.81,556.63
886.91,113.12,339.01,555.4
887.31,112.65,336.18,552.78
887.71,112.85,335.78,553.26
888.11,113.33,336.21,553.33
888.52,113.16,335.84,552.87
888.92,112.4,335.77,550.43
889.32,111.96,335.55,549.35
889.72,112.3,336.24,548.1
890.12,112.67,335.26,546.77
890.52,112.83,332.8,543.35
890.92,112.44,330.98,542.74
891.33,112.65,330.63,541.29
891.73,112.3,330.9,538.69
892.13,110.84,328.91,534.24
892.53,110.23,323.83,528.62
892.93,109.83,320.04,522.54
893.33,109.82,318.17,515.89
893.73,108.89,315.73,505.99
894.13,106.96,312.56,498.15
894.54,105.48,308.57,489.09
894.94,104.75,304.76,480.2
895.34,103.83,300.31,468.85
895.74,102.83,294.23,457.86
896.14,100.97,290.08,447.74
896.54,100.23,285.64,437.63
896.94,99.07,284.01,425.91
897.34,97.08,279.43,416.16
897.74,95.76,272.83,407.02
898.14,95.2,268.63,398.6
898.54,94.48,266.92,391.05
898.94,93.48,266.36,383.87
899.34,91.68,263.93,378.14
899.75,90.66,260.78,372.99
900.15,90.39,259.55,367.25
900.55,90.41,259.52,364.38
900.95,90.32,259.05,362.97
901.35,90.13,260.7,362.84
901.75,91.08,262.09,364.11
902.15,91.6,265.78,366.21
902.55,91.22,268,370.33
902.95,91.58,267.93,374.26
903.35,92.43,269.04,378.08
903.75,93.37,272.4,381.2
904.15,93.75,276.15,385.4
904.55,93.47,276.68,389.06
904.95,93.53,274.99,392.16
905.35,94.04,274.87,393.35
905.75,94.46,275.4,396.24
906.15,94.46,275.54,397.08
906.55,94.06,274.84,395.85
906.95,94.62,272.62,392.72
907.35,94.16,271.64,389.83
907.75,92.67,269.04,385.93
908.15,91.83,264.88,381.35
908.55,91.5,262.55,374.66
908.95,91.3,260.7,371.37
909.35,90.69,261.75,366.66
909.75,89.24,259.28,362.33
910.15,88.57,255.42,356.96
910.55,88.61,254,352.39
910.95,88.51,254.52,348.68
911.35,88.59,255,345.75
911.75,88.14,254.38,341.7
912.15,88.83,252.36,339.96
912.55,88.79,252.17,338.82
912.94,87.54,252.42,338.32
913.34,87.63,251.07,337.27
913.74,87.76,251.26,336.37
914.14,88.4,251.67,336.31
914.54,88.17,253.82,336.19
914.94,87.32,253.73,333.23
915.34,86.87,250.97,333.07
915.74,87.28,251.38,332.87
916.14,87.78,252.96,333.42
916.54,87.88,255.62,333.85
916.94,87.98,256.43,335.26
917.34,88.62,256.32,337.83
917.73,89.08,257.27,340.66
918.13,88.8,259.78,342.99
918.53,89.03,260.89,346.77
918.93,89.84,262.49,351.42
919.33,90.78,263.99,356.6
919.73,90.97,266.79,361.42
920.13,90.53,267.73,365.79
920.53,90.7,266.42,370.95
920.92,91.26,266.67,375.41
921.32,92.12,268.54,377.62
921.72,92.47,270.62,380.45
922.12,92.31,270.45,383.25
922.52,92.8,268.56,384.58
922.92,92.94,267.87,385.78
923.32,92.27,268.18,385.53
923.71,92.31,267.89,386.7
924.11,92.28,267.5,386.2
924.51,92.67,266.31,384.1
924.91,92.31,265.94,381.28
925.31,91.08,263.97,377.59
925.71,90.2,260.07,373.45
926.1,89.99,256.48,368.15
926.5,89.59,254.14,360.62
926.9,89.11,252.67,355.62
927.3,87.7,247.9,348.54
927.7,86.7,241.47,339.17
928.09,85.51,235.31,328.04
928.49,83.26,229.87,317.57
928.89,81.4,224.59,305.78
929.29,79.32,217.18,293.3
929.68,77.75,208.51,277.67
930.08,75.06,200.29,264.56
930.48,71.44,191.47,250.24
930.88,68.34,181,235.09
931.28,66.24,172.74,219.05
931.67,64.12,165.05,203.96
932.07,61.61,159.12,189.35
932.47,58.93,151.58,175.83
932.87,56.53,142.27,160.26
933.26,54.14,134.88,149.14
933.66,51.64,130.02,139
934.06,49.78,126.64,129.87
934.45,48.55,122.19,121.55
934.85,47.98,117.08,114.03
935.25,46.67,113.71,108.23
935.65,44.78,112.51,103.69
936.04,43.78,112.22,98.22
936.44,43.99,113.73,95.59
936.84,44.99,115.69,95.84
937.23,45.41,119.44,97.41
937.63,45.73,122.1,99.7
938.03,46.73,123.16,102.9
938.42,47.74,125.83,108.22
938.82,48.64,130.65,113.15
939.22,50,136.16,116.44
939.62,51.37,138.42,120.46
940.01,52.98,138.52,125.22
940.41,53.54,139.82,129.55
940.8,52.99,142.25,133.12
941.2,52.78,144.44,136.23
941.6,53.76,145.87,140.05
941.99,54.82,145.22,142.54
942.39,55.13,145.45,143.5
942.79,54.53,144.36,142.15
943.18,54.15,140.96,141.45
943.58,54.01,139.51,139.75
943.98,53.21,138.45,137.46
944.37,52.99,139.74,133.58
944.77,52.61,138.24,133.31
945.16,52.84,134.49,131.29
945.56,52.18,133.4,129.7
945.96,50.88,135.18,126.83
946.35,50.05,137.39,125.61
946.75,50.58,138.63,125.16
947.14,51.44,138.31,124.63
947.54,51.41,138.88,123.53
947.94,51.01,140.4,125.82
948.33,51.46,140.21,127.37
948.73,52.17,141.77,129.45
949.12,52.52,143.59,130.1
949.52,53.1,147.05,131.91
949.91,53.8,148.1,133.72
950.31,54.86,146.52,135.77
950.71,54.84,145.91,134.47
951.1,54.11,148.88,136.28
951.5,53.98,151.63,138.1
951.89,54.71,152.28,139.96
952.29,55.65,151.24,141.07
952.68,55.86,151.07,141.88
953.08,55.7,152.31,143.84
953.47,55.69,153.11,145.61
953.87,56.28,154.23,144.86
954.26,56.31,154.91,146.26
954.66,56.81,157.47,148.14
955.05,57.07,158.63,150.48
955.45,58.02,157.21,152.56
955.84,57.94,157.91,154.66
956.24,57.14,160.18,157.86
956.63,57.17,163.63,160.85
957.03,58.03,164.6,161.36
957.42,59.09,163.64,163.41
957.82,59.36,164.13,165.75
958.21,59.28,167.14,167.83
958.61,59.57,169.28,169.97
959,60.58,171.74,172.2
959.4,61.37,173.29,175.59
959.79,62.04,175.32,179
960.18,63.06,177.82,181.49
960.58,64.16,177.91,183.88
960.97,64.57,179.84,187.41
961.37,64.29,182.68,190.47
961.76,64.5,186.96,193.61
962.16,65.31,188.37,196.62
962.55,66.94,188.43,202.18
962.94,67.39,189.79,206.75
963.34,67.41,193.05,210.24
963.73,68,196.78,213.29
964.13,69.19,199.43,218.25
964.52,69.94,200.97,222.79
964.91,70.7,202.32,228.07
965.31,71.69,205.75,231.99
965.7,73.23,208.17,239.95
966.1,73.6,211.7,246.48
966.49,73.28,214.77,253.95
966.88,73.9,219.75,259.87
967.28,75.14,222.78,267.56
967.67,77.18,223.93,275
968.06,78.18,226.68,282.65
968.46,78.48,230.8,288.21
968.85,79.35,235.85,297.01
969.24,80.71,238.64,306.13
969.64,81.71,238.62,314.3
970.03,82.59,240,321.08
970.42,83.5,242.36,327.95
970.82,84.73,244.64,333.79
971.21,84.79,245.76,338.47
971.6,83.82,245.51,339.24
972,83.56,246.72,342.19
972.39,84.2,246.53,343.83
972.78,85.08,243.98,345.46
973.17,85,242.78,344.68
973.57,83.87,243.27,343.96
973.96,83.2,243.93,343.39
974.35,83.28,243.33,342.31
974.75,83.34,240.56,339.05
975.14,83.17,239.65,337.65
975.53,83.09,240.37,336.9
975.92,83.77,241.43,336.29
976.32,83.36,241.95,335.81
976.71,82.33,241.23,335.76
977.1,82,241.91,337.82
977.49,82.69,243.01,339.64
