wavelength,cloudy_day,snow_and_sun,partly_cloudy_day
Date,09/01/2019,19/01/2017,01/10/2019
Time,12:00:00,12:00:00,12:00:00
Memo,A180 I00,A180 I00,A180 I00
Sensor,MS-711,MS-711,MS-711
Exposure Time(msec),200,100,100
Sensor Temp.(deg),24.4,24.4,25.2
Power(V),5.9,5.9,5.9
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
371.42,111.33,234.32,446.85
371.85,110.62,232.33,444.81
372.28,109.52,230.42,440.21
372.71,108.19,228.73,434.88
373.14,107.42,228.1,431.62
373.57,106.79,227.8,429.37
373.99,106.43,226.95,426.44
374.42,106.13,227.23,424.74
374.85,106.04,228.76,424.62
375.28,106.78,231.12,427.15
375.71,107.27,232.41,428.44
376.14,107.82,233.55,429.14
376.56,108.55,235.65,431.71
376.99,109.44,238.32,436.45
377.42,110.67,240.34,441.04
377.85,111.43,241.61,444.86
378.28,112.05,242.88,448.2
378.7,112.65,243.7,452.2
379.13,112.76,243.27,454.63
379.56,112.57,240.96,454.86
379.99,111.68,237.86,453.43
380.41,110.49,234.89,451.98
380.84,109.34,232.08,449.31
381.27,107.58,227.75,442.86
381.7,105.52,222.78,434.38
382.13,103.63,219.67,426.56
382.55,101.66,217.01,419.38
382.98,100.28,214.71,412.35
383.41,98.96,212.96,406.05
383.84,97.87,211.99,401.27
384.26,97.23,212.08,398.06
384.69,96.69,212.03,395.19
385.12,96.34,211.93,392.52
385.55,96.18,212.75,391.05
385.97,96.4,215.21,391.8
386.4,97.33,218.97,394.13
386.83,98.42,222.4,396.72
387.25,99.87,225.87,400.67
387.68,101.69,230.55,407.12
388.11,103.42,235.38,414.57
388.54,105.45,239.48,422.94
388.96,107.29,242.62,430.94
389.39,108.91,245.32,439.21
389.82,110.37,247.65,446.89
390.24,111.11,248.48,452.38
390.67,111.51,247.65,455.32
391.1,111.42,246.54,457.12
391.53,111.16,246.13,458.18
391.95,110.98,246.17,458.24
392.38,110.55,245.75,456.72
392.81,110.32,244.95,454.74
393.23,110.26,245.25,453.58
393.66,110.09,245.35,454.03
394.09,110.09,244.99,454.13
394.51,109.77,243.78,454.09
394.94,109.4,243.3,453.83
395.37,109.11,244.66,452.91
395.79,108.97,247.13,451.46
396.22,109.67,251.04,451.23
396.65,111.26,257.7,453.5
397.07,113.99,267.37,461.56
397.5,118.02,278.9,474.11
397.93,122.55,290.03,490.16
398.35,127.61,300.8,508.79
398.78,132.87,312.44,530.07
399.21,137.64,323.44,551.88
399.63,142.35,333.86,573.01
400.06,146.74,343.28,591.39
400.48,151.03,353.2,610.62
400.91,155.77,364.31,630.25
401.34,159.97,374.13,648.85
401.76,164.17,381.62,666.88
402.19,167.97,388.45,684.63
402.62,171.16,394.17,701.66
403.04,173.85,398.68,716.78
403.47,175.44,400.38,726.44
403.89,176.41,400.61,732.95
404.32,176.99,401.72,737.43
404.75,176.81,402.06,739.93
405.17,176.54,401.41,739.61
405.6,176.05,400.46,737.75
406.02,175.74,399.7,737.41
406.45,175.66,400.63,738.53
406.88,175.25,400.7,737.63
407.3,174.95,400.09,735.34
407.73,174.83,399.95,734.1
408.15,174.75,401.24,735.22
408.58,174.95,402.84,736.21
409,175.25,403.89,736.17
409.43,175.9,405.48,738.09
409.86,176.73,408.39,741.37
410.28,177.3,411.43,744.5
410.71,178.27,414.13,747.63
411.13,179.3,416.51,751.05
411.56,180.47,419,757.41
411.98,182.02,422.97,765.2
412.41,183.11,425.63,770.02
412.83,184.14,427.36,774.77
413.26,185.25,429.25,780.04
413.69,186.2,431.83,786.47
414.11,187.09,434.48,791.09
414.54,187.98,436.16,794.19
414.96,189.06,437.29,798.48
415.39,190.01,439.45,804.41
415.81,190.13,439.65,806.92
416.24,190.05,439.45,808.32
416.66,189.93,438.7,809.44
417.09,189.78,438.05,811.6
417.51,189.76,439.15,813.73
417.94,189.43,438.78,812.44
418.36,189.43,438,811.41
418.79,189.38,438.1,811.76
419.21,189.12,438,811.63
419.64,188.8,438.62,811.06
420.06,188.42,437.43,809.42
420.49,188.58,436.33,810.24
420.91,188.55,436.11,811.31
421.34,187.69,435.81,809.65
421.76,187.05,435.27,807.01
422.19,186.62,435.08,805.47
422.61,186.38,434.53,804.71
423.04,186.39,435.16,805.63
423.46,186.04,435.15,804.44
423.89,185.9,433.72,803.8
424.31,185.57,433.15,803.89
424.74,184.64,431.64,802.44
425.16,183.65,429.92,799.88
425.59,182.74,427.33,796.12
426.01,181.99,424.2,792.76
426.43,181.21,422.29,790.25
426.86,179.29,419.59,784.41
427.28,177.64,416.76,778.66
427.71,176.03,413.21,772.87
428.13,174.46,408.87,766.46
428.56,172.89,405.6,761.06
428.98,170.79,402.28,752.82
429.41,169.29,399.5,743.96
429.83,168.05,397.87,736.94
430.25,166.45,396.34,728.98
430.68,165.62,396.47,723.87
431.1,165.31,397.05,719.79
431.53,165.65,398.42,718.69
431.95,166.15,401.01,720.83
432.38,166.04,403.02,721.76
432.8,166.43,406.06,722.24
433.22,167.46,409.53,724.26
433.65,168.48,412.76,727.14
434.07,170.09,417.84,733.33
434.5,171.7,423.4,739.42
434.92,174.04,429.61,746.45
435.34,176.62,435.08,757.03
435.77,177.97,438.31,766.07
436.19,179.2,440.87,773.75
436.62,180.41,442.56,779.68
437.04,181.32,444.22,784.3
437.46,181.97,446.06,789.13
437.89,181.81,446.96,790.85
438.31,182.01,448.71,790.51
438.74,182.56,450.93,792.27
439.16,183.16,452.73,794.89
439.58,183.63,455.28,798.27
440.01,184.47,458.19,800.8
440.43,185.81,461.91,803.31
440.85,186.93,465.11,808.25
441.28,187.16,466.27,811.44
441.7,187.58,468.25,812.2
442.12,188.54,471.15,814.9
442.55,189.91,474.66,819.32
442.97,191.29,478.91,825.85
443.4,192.03,481.25,829.94
443.82,193.08,483.8,832.98
444.24,194.38,487.29,838.75
444.67,195.31,489.29,843.55
445.09,196.22,492.06,847.36
445.51,196.97,494.6,850.99
445.94,198.61,498.43,855.26
446.36,200.01,502.03,862.1
446.78,200.36,503.25,866.66
447.21,200.99,504.95,869.52
447.63,202.25,508.16,874.41
448.05,203.76,512.19,880.93
448.48,205.35,516.28,887.73
448.9,206.36,518.63,893.14
449.32,207.88,522.19,898.94
449.75,209.65,526.26,907.86
450.17,210.98,528.85,915.54
450.59,212,530.58,921.61
451.01,212.79,532.24,927.66
451.44,214.33,534.62,934.55
451.86,215.51,536.97,940.95
452.28,215.49,536.64,944.36
452.71,215.62,536.62,946.11
453.13,216.14,538.05,950.14
453.55,217.1,540.48,954.31
453.98,217.66,541.55,957.18
